('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784328 function calls (759929 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      217    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      217    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
  197/193    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      197    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      197    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    197/4    0.000    0.000    0.227    0.057 <frozen importlib._bootstrap>:911(_load_unlocked)
      196    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      195    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      195    0.000    0.000    0.030    0.000 _compiler.py:576(_code)
      195    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      195    0.001    0.000    0.005    0.000 _compiler.py:514(_compile_info)
      195    0.000    0.000    0.076    0.000 _compiler.py:743(compile)
      195    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      195    0.000    0.000    0.046    0.000 _parser.py:970(parse)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      193    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      183    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      183    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
      182    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    171/1    0.001    0.000    1.950    1.950 {built-in method builtins.exec}
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  170/167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      169    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
    169/4    0.000    0.000    0.227    0.057 <frozen importlib._bootstrap_external>:1020(exec_module)
      169    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      169    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
      169    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
      169    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      169    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      169    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
      160    0.000    0.000    0.000    0.000 enum.py:1333(value)
      160    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      146    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      144    0.000    0.000    0.000    0.000 {built-in method sys.intern}
  136/131    0.000    0.000    0.000    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
  134/132    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      134    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      134    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      130    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      130    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      130    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
      126    0.001    0.000    0.002    0.000 _compiler.py:470(_get_charset_prefix)
      125    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
  121/103    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      121    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
      121    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      107    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      104    0.000    0.000    0.000    0.000 enum.py:917(<lambda>)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       99    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
       98    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       94    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       92    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
    78/56    0.000    0.000    0.002    0.000 typing.py:574(__getitem__)
    78/44    0.000    0.000    0.118    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       77    0.000    0.000    0.002    0.000 css_parser.py:462(parse_attribute_selector)
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
    70/39    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
