('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         783964 function calls (759609 primitive calls) in 1.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       65    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      763    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       23    0.000    0.000    0.001    0.000 enum.py:498(__new__)
      223    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      130    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      306    0.000    0.000    0.000    0.000 enum.py:695(__call__)
     1362    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      676    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      316    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       27    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
     1362    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    1.325    1.325 financial.py:7(fetch_financials)
      183    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      295    0.000    0.000    0.000    0.000 socket.py:744(readable)
       40    0.000    0.000    0.008    0.000 response.py:469(_decode)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       63    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
      280    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      217    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        1    0.000    0.000    0.035    0.035 dammit.py:1(<module>)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      310    0.000    0.000    0.079    0.000 __init__.py:287(compile)
      356    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       99    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
      299    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      423    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      195    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      555    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
       58    0.000    0.000    0.135    0.002 client.py:633(_safe_read)
  170/167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      590    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
        1    0.000    0.000    1.528    1.528 financial.py:1(<module>)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       48    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
      125    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      362    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      306    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
       56    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      491    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        7    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      390    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      297    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      529    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      221    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      2/1    0.000    0.000    1.181    1.181 sessions.py:673(send)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      223    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      316    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      130    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
