Error: URL not found or could not fetch data for AAPL
         468058 function calls (444107 primitive calls) in 0.778 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       74    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
        3    0.000    0.000    0.000    0.000 selector_events.py:1047(write)
     1258    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      817    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      781    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       32    0.000    0.000    0.000    0.000 base_events.py:818(call_soon)
       16    0.000    0.000    0.000    0.000 _readers.py:64(_decode_header_lines)
      461    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      509    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       36    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       10    0.000    0.000    0.014    0.001 connection.py:69(handle_async_request)
        3    0.000    0.000    0.002    0.001 _asyncio.py:2584(connect_tcp)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.000    0.000 _asyncio.py:787(_spawn)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       22    0.000    0.000    0.000    0.000 _asyncio.py:398(__init__)
      303    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.002    0.002 _models.py:1249(__init__)
        4    0.000    0.000    0.012    0.003 anyio.py:55(start_tls)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      190    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
      197    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      460    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       10    0.000    0.000    0.022    0.002 _client.py:1679(_send_handling_redirects)
        6    0.000    0.000    0.000    0.000 selectors.py:499(register)
      113    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       11    0.000    0.000    0.002    0.000 _connection.py:426(next_event)
        8    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
       96    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
    43/26    0.000    0.000    0.090    0.003 {built-in method builtins.__import__}
      413    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:204(__subclasshook__)
        4    0.000    0.000    0.000    0.000 selector_events.py:841(pause_reading)
       35    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        1    0.000    0.000    0.001    0.001 _client.py:475(_build_redirect_request)
        6    0.000    0.000    0.000    0.000 default.py:95(map_httpcore_exceptions)
        9    0.000    0.000    0.000    0.000 _models.py:284(__getitem__)
        6    0.000    0.000    0.000    0.000 _asyncio.py:1281(send)
        4    0.000    0.000    0.011    0.003 tls.py:79(wrap)
      391    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       16    0.000    0.000    0.001    0.000 _tasks.py:95(fail_after)
       29    0.000    0.000    0.000    0.000 _util.py:84(validate)
      220    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       10    0.000    0.000    0.022    0.002 _client.py:1645(_send_handling_auth)
        3    0.000    0.000    1.098    0.366 base_events.py:673(run_forever)
       36    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       31    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1680(extract_cookies)
       10    0.000    0.000    0.018    0.002 connection_pool.py:199(handle_async_request)
       56    0.000    0.000    0.000    0.000 base_events.py:767(time)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
  138/102    0.000    0.000    0.004    0.000 typing.py:574(__getitem__)
        6    0.000    0.000    0.001    0.000 _models.py:1037(aiter_raw)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        7    0.000    0.000    0.001    0.000 anyio.py:25(read)
        3    0.000    0.000    0.001    0.000 selector_events.py:1001(_read_ready__data_received)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
       30    0.000    0.000    0.000    0.000 enum.py:983(_find_data_type_)
        3    0.000    0.000    0.002    0.001 base_events.py:1053(create_connection)
      332    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       36    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        2    0.000    0.000    0.001    0.000 selector_events.py:621(sock_connect)
        2    0.000    0.000    0.004    0.002 _sockets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:342(_copy_future_state)
      128    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
        1    0.000    0.000    0.000    0.000 _base.py:537(set_result)
        1    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        1    0.000    0.000    0.039    0.039 css_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:928(__init__)
        1    0.000    0.000    0.002    0.002 request.py:289(__init__)
       10    0.000    0.000    0.000    0.000 base_events.py:800(call_at)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
    42/30    0.000    0.000    0.006    0.000 css_parser.py:569(parse_pseudo_class)
        2    0.000    0.000    0.000    0.000 _sockets.py:58(extra_attributes)
        3    0.000    0.000    0.000    0.000 _asyncio.py:1186(data_received)
    50/49    0.000    0.000    0.003    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.238    0.238 socket.py:958(getaddrinfo)
        5    0.000    0.000    0.000    0.000 selector_events.py:274(_add_reader)
      203    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
