('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784229 function calls (759850 primitive calls) in 6.515 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.001    0.000 typing.py:2994(__new__)
     1468    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      195    0.000    0.000    0.030    0.000 _compiler.py:576(_code)
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
  219/180    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      585    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      800    0.000    0.000    0.000    0.000 element.py:2160(get)
      221    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    6.289    6.289 financial.py:7(fetch_financials)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      130    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
        2    0.000    0.000    0.045    0.022 client.py:213(_read_headers)
      2/1    0.000    0.000    1.134    1.134 sessions.py:673(send)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        5    0.000    0.000    0.001    0.000 request.py:2495(getproxies_environment)
  709/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _collections.py:335(extend)
        2    0.000    0.000    0.890    0.445 connection.py:485(getresponse)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
        2    0.000    0.000    0.888    0.444 client.py:324(begin)
       56    0.000    0.000    0.002    0.000 typing.py:753(Union)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      127    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      306    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
      255    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
      713    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      280    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      305    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       65    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      223    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      763    0.000    0.000    0.000    0.000 _parser.py:82(groups)
