,Protein,Total lipid (fat),"Carbohydrate, by difference",Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Selenium, Se","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total","Choline, total",Vitamin K (phylloquinone),"Folate, DFE","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated","Manganese, Mn"
lamb shank,0.4018,0.1458974358974359,0.00032727272727272726,0.0,0.0,0.005384615384615384,0.07111111111111111,0.04523809523809524,0.1256,0.060851063829787236,0.03304347826086956,0.3527272727272727,0.08777777777777777,0.00011636363636363637,0.008888888888888889,0.018,0.0,0.08333333333333333,0.07384615384615385,0.255875,0.05529411764705883,0.0,0.0,0.0,0.0,0.0,0.22,0.23105,0.0034782608695652175
leafy green,0.16219999999999998,0.0941025641025641,0.023527272727272727,0.00182,0.03214285714285714,0.01,0.045,0.030952380952380953,0.0568,0.029574468085106383,0.1356521739130435,0.12636363636363637,0.04777777777777778,0.0001418181818181818,0.005555555555555556,0.06,0.0,0.03166666666666667,0.06615384615384616,0.103125,0.07647058823529412,3e-05,0.015,0.0875,0.03,0.0,0.07666666666666666,0.082,0.0
leek,0.0314,0.0391025641025641,0.053454545454545456,0.008140000000000001,0.06785714285714285,0.047692307692307694,0.12166666666666667,0.06904761904761905,0.0296,0.04,0.06565217391304348,0.011818181818181818,0.1388888888888889,1.8181818181818182e-05,0.10444444444444445,0.09133333333333334,0.0,0.04666666666666667,0.023076923076923078,0.02475,0.1388235294117647,0.0001425,0.004391304347826087,0.4266666666666667,0.1425,0.0,0.006666666666666667,0.0379,0.0
legume,0.5,0.011410256410256411,0.22076363636363636,0.00358,1.0857142857142856,0.054615384615384614,0.4466666666666666,0.0,0.0,0.0,0.06217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,0.38461538461538464,0.024254545454545456,0.00666,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665,0.0
lemon juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemongrass,0.026,0.01358974358974359,0.029818181818181813,0.0088,0.05357142857142857,0.01769230769230769,0.0,0.0,0.0,0.0,0.06304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0
lentil,0.0736,0.07243589743589744,0.04472727272727273,0.00642,0.12142857142857143,0.019230769230769232,0.07888888888888888,0.05476190476190476,0.0624,0.062127659574468086,0.16652173913043478,0.053636363636363635,0.1711111111111111,2.7272727272727273e-05,0.04111111111111111,0.094,0.0,0.058333333333333334,0.047692307692307694,0.050375,0.07705882352941176,0.0001575,0.008304347826086956,0.07166666666666667,0.1575,0.0,0.0,0.0645,0.0
lettuce,0.0184,0.001282051282051282,0.013418181818181819,0.0022,0.04642857142857143,0.023846153846153847,0.014444444444444444,0.02619047619047619,0.0184,0.05297872340425532,0.01,0.023636363636363636,0.044444444444444446,1.0909090909090909e-05,0.33555555555555555,0.011333333333333334,0.0,0.055,0.04923076923076923,0.0201875,0.036470588235294116,9.5e-05,0.004565217391304348,0.6158333333333333,0.095,0.0,0.0,0.0013,0.0
lima bean,0.145,0.08794871794871795,0.07054545454545455,0.0054,0.23214285714285715,0.012307692307692308,0.1238888888888889,0.09523809523809523,0.0824,0.10042553191489362,0.09478260869565218,0.08,0.24222222222222223,7.636363636363636e-05,0.0,0.09333333333333334,0.0,0.11833333333333333,0.03769230769230769,0.02325,0.08352941176470588,0.0001825,0.013130434782608696,0.07,0.1825,0.0,0.0,0.0476,0.0
